Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BatteryHolder_Keystone_1042_1x18650,111.5966,-64.261,0,top
C1,100n,C_0805_2012Metric,144.968,-45.593,0,top
C2,10u,C_0805_2012Metric,144.968,-47.7266,0,top
C3,100n,C_0805_2012Metric,160.3756,-63.4874,180,top
C4,10u,C_0805_2012Metric,160.3756,-61.3918,180,top
C5,100n,C_0805_2012Metric,181.295,-72.7076,180,top
C6,10u,C_0805_2012Metric,181.3204,-70.612,180,top
D3,1N4148W,D_SOD-123,185.039,-104.2416,0,top
D4,1N4148W,D_SOD-123,185.6222,-70.612,0,top
D5,1N4148W,D_SOD-123,160.8836,-67.2094,-90,top
D6,1N4148W,D_SOD-123,140.5636,-47.7266,180,top
J1,Conn_01x40_Socket,PinHeader_1x40_P2.54mm_Vertical,71.3994,-77.978,90,top
J2,Conn_01x40_Socket,PinHeader_1x40_P2.54mm_Vertical,71.3994,-108.458,90,top
J3,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,180.6194,-108.458,-90,top
R1,82,R_0805_2012Metric,167.2825,-50.2158,0,top
R2,120,R_0805_2012Metric,158.9043,-50.1142,0,top
U1,~,YR903_RFID,203.6761,-65.83,90,top
U2,~,TP4056-18650_v2,97.6248,-84.2788,0,top
U3,~,MT3608_module_v2,169.545,-93.0148,0,top
U4,~,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,180.721,-66.04,180,top
U5,~,Quad_SPI_flash_microSD_v2,101.8794,-112.2934,90,top
U6,~,CY8CPROTO-062-4343W_v3,120.9554,-92.329,90,top
